,sentence
56,이후 귀가한 임주환은 거실에 인조 잔디 러그로 캠핑 분위기를 내고 오이로 만든 칵테일과 피클로 혼술을 즐겼다.
57,코드 쿤스트는 임주환이 아침에 온갖 약을 먹고 저녁에 칵테일을 준비하는 모습을 보며 저녁에 죄짓고 아침에 사죄하는 것이라고 비유해 다시 한번 웃음을 안겼다.
58,공개된 사진에는 야외 테라스에 앉아 디저트를 즐기고 있는 이하늬의 모습이 담겼다.
59,(사진MBC)이데일리 스타in 김보영 기자 ‘나 혼자 산다’ 배우 임주환이 낮과 밤이 다른 이중생활을 공개한다.
60,낮에는 살림남 면모로 부엌에서 시간을 보내는 그가 자동차 숍 알바생으로 변신한 이유가 무엇일지 흥미를 자극한다.
61,일어나자마자 씻고 배달 온 레몬과 오이를 소독하고 차를 끓이고 코인 빨래방에서 수건 빨래와 건조를 하는 등 할 일을 찾아서 하는 ‘살림남’의 하루로 이목을 집중시킨다.
62,그는 실제로 “하루에 한마디도 안 할 때가 많다며 자신처럼 말수가 적은 지인 형님의 ‘웃픈(웃기지만 슬픈)’ 일화를 공개해 웃음을 자아낼 예정이다.
63,집 안 일을 끝낸 임주환은 노래의 비트에 맞춰 페달 밟는 속도를 조절하는 비트 업 라이딩으로 운동을 하며 시간을 보낸다.
64,이어 절친한 친구가 운영하는 자동차 숍에서 막간 아르바이트를 하는 이중생활이 포착돼 시선을 강탈한다.
65,임주환은 많이 해본 듯 차 시트를 능숙하게 분리하고 휠 청소를 하며 전문가 포스를 뽐내 마치 영화 속 한 장면을 보는 것 같은 착각을 일으킨다.
66,임주환은 ‘킥재료’ 오이를 이용한 안주와 칵테일을 뚝딱 완성해 시선을 강탈할 예정이다.
67,특히 김현숙은 비니 모자에 힙한 스타일링으로 일상복을 꾸며 시선을 모은다.
68,‘잉꼬부부’ 최수종-하희라와 ‘연예계 절친’ 주상욱-조재윤이 시골의 빈집을 수개월 동안 직접 고치고 꾸미며 셀프 안식처를 완성하는 과정을 생생하게 전달할 예정이다.
69,’세컨 하우스‘를 기획하게 된 계기는 무엇인가- 누구나 진정한 휴식을 취하는 나만의 공간이 있으면 좋겠다고 한 번쯤 꿈꿔 보셨을 거 같다.
70,하지만 도시의 집 한 채 마련도 어려운 현실에서 세컨 하우스는 어찌 보면 비현실적이지 않을까 생각하실 수도 있는데 그 꿈을 ’시골의 빈집으로 실현해보자‘는 것이 저희 프로그램의 큰 틀이다.
